"subject" "activity" "measurement" "averagemean" "averagestd"
1 "standing" "tGravityAccX" 0.94 -0.99
1 "standing" "tGravityAccY" -0.27 -0.98
1 "standing" "tGravityAccZ" 0.01 -0.98
1 "laying" "fBodyAccJerkX" -0.96 -0.96
1 "laying" "fBodyAccJerkY" -0.92 -0.93
1 "laying" "fBodyAccJerkZ" -0.95 -0.96
1 "laying" "fBodyAccMag" -0.86 -0.8
1 "laying" "fBodyAccX" -0.94 -0.92
1 "laying" "fBodyAccY" -0.87 -0.83
1 "laying" "fBodyAccZ" -0.88 -0.81
1 "laying" "fBodyBodyAccJerkMag" -0.93 -0.92
1 "laying" "fBodyBodyGyroJerkMag" -0.94 -0.93
1 "laying" "fBodyBodyGyroMag" -0.86 -0.82
1 "laying" "fBodyGyroX" -0.85 -0.88
1 "laying" "fBodyGyroY" -0.95 -0.95
1 "laying" "fBodyGyroZ" -0.91 -0.92
1 "laying" "tBodyAccJerkMag" -0.95 -0.93
1 "laying" "tBodyAccJerkX" 0.08 -0.96
1 "laying" "tBodyAccJerkY" 0 -0.92
1 "laying" "tBodyAccJerkZ" 0.01 -0.95
1 "laying" "tBodyAccMag" -0.84 -0.8
1 "laying" "tBodyAccX" 0.22 -0.93
1 "laying" "tBodyAccY" -0.04 -0.84
1 "laying" "tBodyAccZ" -0.11 -0.83
1 "laying" "tBodyGyroJerkMag" -0.96 -0.94
1 "laying" "tBodyGyroJerkX" -0.11 -0.92
1 "laying" "tBodyGyroJerkY" -0.04 -0.97
1 "laying" "tBodyGyroJerkZ" -0.07 -0.96
1 "laying" "tBodyGyroMag" -0.87 -0.82
1 "laying" "tBodyGyroX" -0.02 -0.87
1 "laying" "tBodyGyroY" -0.06 -0.95
1 "laying" "tBodyGyroZ" 0.15 -0.91
1 "laying" "tGravityAccMag" -0.84 -0.8
1 "laying" "tGravityAccX" -0.25 -0.9
1 "laying" "tGravityAccY" 0.71 -0.91
1 "laying" "tGravityAccZ" 0.45 -0.85
2 "walking" "fBodyAccJerkX" -0.3 -0.31
2 "walking" "fBodyAccJerkY" -0.08 -0.02
2 "walking" "fBodyAccJerkZ" -0.55 -0.62
2 "walking" "fBodyAccMag" -0.32 -0.58
2 "walking" "fBodyAccX" -0.35 -0.46
2 "walking" "fBodyAccY" -0.02 -0.17
2 "walking" "fBodyAccZ" -0.45 -0.46
2 "walking" "fBodyBodyAccJerkMag" -0.17 -0.16
2 "walking" "fBodyBodyGyroJerkMag" -0.58 -0.56
2 "walking" "fBodyBodyGyroMag" -0.53 -0.65
2 "walking" "fBodyGyroX" -0.43 -0.6
2 "walking" "fBodyGyroY" -0.55 -0.53
2 "walking" "fBodyGyroZ" -0.4 -0.56
2 "walking" "tBodyAccJerkMag" -0.28 -0.16
2 "walking" "tBodyAccJerkX" 0.06 -0.28
2 "walking" "tBodyAccJerkY" 0.02 -0.02
2 "walking" "tBodyAccJerkZ" 0.01 -0.59
2 "walking" "tBodyAccMag" -0.29 -0.42
2 "walking" "tBodyAccX" 0.28 -0.42
2 "walking" "tBodyAccY" -0.02 -0.08
2 "walking" "tBodyAccZ" -0.11 -0.43
2 "walking" "tBodyGyroJerkMag" -0.55 -0.56
2 "walking" "tBodyGyroJerkX" -0.08 -0.39
2 "walking" "tBodyGyroJerkY" -0.05 -0.63
2 "walking" "tBodyGyroJerkZ" -0.05 -0.44
2 "walking" "tBodyGyroMag" -0.45 -0.55
2 "walking" "tBodyGyroX" -0.05 -0.56
2 "walking" "tBodyGyroY" -0.05 -0.54
2 "walking" "tBodyGyroZ" 0.08 -0.48
2 "walking" "tGravityAccMag" -0.29 -0.42
2 "walking" "tGravityAccX" 0.91 -0.97
2 "walking" "tGravityAccY" -0.35 -0.97
2 "walking" "tGravityAccZ" 0.08 -0.97
2 "walking_upstairs" "fBodyAccJerkX" -0.26 -0.37
2 "walking_upstairs" "fBodyAccJerkY" -0.19 -0.24
2 "walking_upstairs" "fBodyAccJerkZ" -0.52 -0.63
2 "walking_upstairs" "fBodyAccMag" -0.15 -0.37
2 "walking_upstairs" "fBodyAccX" -0.27 -0.32
2 "walking_upstairs" "fBodyAccY" 0.01 0.08
2 "walking_upstairs" "fBodyAccZ" -0.28 -0.09
2 "walking_upstairs" "fBodyBodyAccJerkMag" -0.19 -0.26
2 "walking_upstairs" "fBodyBodyGyroJerkMag" -0.6 -0.62
2 "walking_upstairs" "fBodyBodyGyroMag" -0.45 -0.44
2 "walking_upstairs" "fBodyGyroX" -0.33 -0.48
2 "walking_upstairs" "fBodyGyroY" -0.49 -0.46
2 "walking_upstairs" "fBodyGyroZ" -0.25 -0.22
2 "walking_upstairs" "tBodyAccJerkMag" -0.32 -0.22
2 "walking_upstairs" "tBodyAccJerkX" 0.07 -0.28
2 "walking_upstairs" "tBodyAccJerkY" -0.01 -0.19
2 "walking_upstairs" "tBodyAccJerkZ" 0.02 -0.57
2 "walking_upstairs" "tBodyAccMag" -0.11 -0.21
2 "walking_upstairs" "tBodyAccX" 0.25 -0.3
2 "walking_upstairs" "tBodyAccY" -0.02 0.11
2 "walking_upstairs" "tBodyAccZ" -0.15 -0.11
2 "walking_upstairs" "tBodyGyroJerkMag" -0.57 -0.6
2 "walking_upstairs" "tBodyGyroJerkX" -0.08 -0.46
2 "walking_upstairs" "tBodyGyroJerkY" -0.04 -0.65
2 "walking_upstairs" "tBodyGyroJerkZ" -0.04 -0.47
2 "walking_upstairs" "tBodyGyroMag" -0.22 -0.38
2 "walking_upstairs" "tBodyGyroX" -0.06 -0.44
2 "walking_upstairs" "tBodyGyroY" -0.03 -0.47
2 "walking_upstairs" "tBodyGyroZ" 0.07 -0.16
2 "walking_upstairs" "tGravityAccMag" -0.11 -0.21
2 "walking_upstairs" "tGravityAccX" 0.79 -0.93
2 "walking_upstairs" "tGravityAccY" -0.42 -0.92
2 "walking_upstairs" "tGravityAccZ" -0.2 -0.88
2 "walking_downstairs" "fBodyAccJerkX" 0.14 0.05
2 "walking_downstairs" "fBodyAccJerkY" 0.1 0.08
2 "walking_downstairs" "fBodyAccJerkZ" -0.27 -0.41
2 "walking_downstairs" "fBodyAccMag" 0.29 -0.02
2 "walking_downstairs" "fBodyAccX" 0.11 0.02
2 "walking_downstairs" "fBodyAccY" 0.28 0.17
2 "walking_downstairs" "fBodyAccZ" -0.13 -0.16
2 "walking_downstairs" "fBodyBodyAccJerkMag" 0.22 0.23
2 "walking_downstairs" "fBodyBodyGyroJerkMag" -0.38 -0.34
2 "walking_downstairs" "fBodyBodyGyroMag" -0.32 -0.37
2 "walking_downstairs" "fBodyGyroX" -0.15 -0.38
2 "walking_downstairs" "fBodyGyroY" -0.36 -0.46
2 "walking_downstairs" "fBodyGyroZ" -0.09 -0.42
2 "walking_downstairs" "tBodyAccJerkMag" 0.01 0.23
2 "walking_downstairs" "tBodyAccJerkX" 0.11 0.15
2 "walking_downstairs" "tBodyAccJerkY" 0 0.13
2 "walking_downstairs" "tBodyAccJerkZ" -0.02 -0.34
2 "walking_downstairs" "tBodyAccMag" 0.09 0.22
2 "walking_downstairs" "tBodyAccX" 0.28 0.05
2 "walking_downstairs" "tBodyAccY" -0.02 0.26
2 "walking_downstairs" "tBodyAccZ" -0.12 -0.1
2 "walking_downstairs" "tBodyGyroJerkMag" -0.41 -0.34
2 "walking_downstairs" "tBodyGyroJerkX" -0.06 -0.24
2 "walking_downstairs" "tBodyGyroJerkY" -0.04 -0.47
2 "walking_downstairs" "tBodyGyroJerkZ" -0.07 -0.22
2 "walking_downstairs" "tBodyGyroMag" -0.16 -0.27
2 "walking_downstairs" "tBodyGyroX" -0.12 -0.32
2 "walking_downstairs" "tBodyGyroY" 0 -0.42
2 "walking_downstairs" "tBodyGyroZ" 0.1 -0.28
2 "walking_downstairs" "tGravityAccMag" 0.09 0.22
2 "walking_downstairs" "tGravityAccX" 0.86 -0.94
2 "walking_downstairs" "tGravityAccY" -0.33 -0.94
2 "walking_downstairs" "tGravityAccZ" -0.04 -0.93
2 "sitting" "fBodyAccJerkX" -0.99 -0.99
2 "sitting" "fBodyAccJerkY" -0.98 -0.98
2 "sitting" "fBodyAccJerkZ" -0.99 -0.99
2 "sitting" "fBodyAccMag" -0.96 -0.96
2 "sitting" "fBodyAccX" -0.99 -0.99
2 "sitting" "fBodyAccY" -0.96 -0.95
2 "sitting" "fBodyAccZ" -0.97 -0.96
2 "sitting" "fBodyBodyAccJerkMag" -0.98 -0.98
2 "sitting" "fBodyBodyGyroJerkMag" -0.99 -0.99
2 "sitting" "fBodyBodyGyroMag" -0.97 -0.96
2 "sitting" "fBodyGyroX" -0.98 -0.99
2 "sitting" "fBodyGyroY" -0.98 -0.98
2 "sitting" "fBodyGyroZ" -0.96 -0.96
2 "sitting" "tBodyAccJerkMag" -0.99 -0.98
2 "sitting" "tBodyAccJerkX" 0.07 -0.99
2 "sitting" "tBodyAccJerkY" 0.01 -0.98
2 "sitting" "tBodyAccJerkZ" 0.01 -0.99
2 "sitting" "tBodyAccMag" -0.97 -0.95
2 "sitting" "tBodyAccX" 0.28 -0.99
2 "sitting" "tBodyAccY" -0.02 -0.95
2 "sitting" "tBodyAccZ" -0.11 -0.96
2 "sitting" "tBodyGyroJerkMag" -0.99 -0.99
2 "sitting" "tBodyGyroJerkX" -0.09 -0.99
2 "sitting" "tBodyGyroJerkY" -0.04 -0.99
2 "sitting" "tBodyGyroJerkZ" -0.04 -0.99
2 "sitting" "tBodyGyroMag" -0.95 -0.96
2 "sitting" "tBodyGyroX" -0.05 -0.99
2 "sitting" "tBodyGyroY" -0.06 -0.98
2 "sitting" "tBodyGyroZ" 0.04 -0.96
2 "sitting" "tGravityAccMag" -0.97 -0.95
2 "sitting" "tGravityAccX" 0.94 -0.98
2 "sitting" "tGravityAccY" -0.11 -0.96
2 "sitting" "tGravityAccZ" 0.2 -0.95
2 "standing" "fBodyAccJerkX" -0.98 -0.98
2 "standing" "fBodyAccJerkY" -0.97 -0.97
2 "standing" "fBodyAccJerkZ" -0.98 -0.98
2 "standing" "fBodyAccMag" -0.96 -0.96
2 "standing" "fBodyAccX" -0.98 -0.99
2 "standing" "fBodyAccY" -0.96 -0.96
2 "standing" "fBodyAccZ" -0.96 -0.95
2 "standing" "fBodyBodyAccJerkMag" -0.98 -0.98
2 "standing" "fBodyBodyGyroJerkMag" -0.98 -0.98
2 "standing" "fBodyBodyGyroMag" -0.96 -0.96
2 "standing" "fBodyGyroX" -0.97 -0.97
2 "standing" "fBodyGyroY" -0.97 -0.97
2 "standing" "fBodyGyroZ" -0.96 -0.97
2 "standing" "tBodyAccJerkMag" -0.98 -0.98
2 "standing" "tBodyAccJerkX" 0.07 -0.98
2 "standing" "tBodyAccJerkY" 0.01 -0.97
2 "standing" "tBodyAccJerkZ" -0.01 -0.98
2 "standing" "tBodyAccMag" -0.97 -0.96
2 "standing" "tBodyAccX" 0.28 -0.99
2 "standing" "tBodyAccY" -0.02 -0.96
2 "standing" "tBodyAccZ" -0.11 -0.95
2 "standing" "tBodyGyroJerkMag" -0.98 -0.98
2 "standing" "tBodyGyroJerkX" -0.11 -0.98
2 "standing" "tBodyGyroJerkY" -0.04 -0.98
2 "standing" "tBodyGyroJerkZ" -0.05 -0.97
2 "standing" "tBodyGyroMag" -0.96 -0.95
2 "standing" "tBodyGyroX" -0.02 -0.97
2 "standing" "tBodyGyroY" -0.08 -0.97
2 "standing" "tBodyGyroZ" 0.09 -0.96
2 "standing" "tGravityAccMag" -0.97 -0.96
2 "standing" "tGravityAccX" 0.9 -0.99
2 "standing" "tGravityAccY" -0.37 -0.97
2 "standing" "tGravityAccZ" 0.13 -0.95
2 "laying" "fBodyAccJerkX" -0.99 -0.99
2 "laying" "fBodyAccJerkY" -0.98 -0.98
2 "laying" "fBodyAccJerkZ" -0.99 -0.99
2 "laying" "fBodyAccMag" -0.98 -0.98
2 "laying" "fBodyAccX" -0.98 -0.97
2 "laying" "fBodyAccY" -0.98 -0.98
2 "laying" "fBodyAccZ" -0.98 -0.98
2 "laying" "fBodyBodyAccJerkMag" -0.99 -0.98
2 "laying" "fBodyBodyGyroJerkMag" -0.99 -0.99
2 "laying" "fBodyBodyGyroMag" -0.97 -0.96
2 "laying" "fBodyGyroX" -0.99 -0.99
2 "laying" "fBodyGyroY" -0.98 -0.98
2 "laying" "fBodyGyroZ" -0.96 -0.96
2 "laying" "tBodyAccJerkMag" -0.99 -0.99
2 "laying" "tBodyAccJerkX" 0.08 -0.99
2 "laying" "tBodyAccJerkY" 0.01 -0.98
2 "laying" "tBodyAccJerkZ" 0 -0.99
2 "laying" "tBodyAccMag" -0.98 -0.97
2 "laying" "tBodyAccX" 0.28 -0.97
2 "laying" "tBodyAccY" -0.02 -0.98
2 "laying" "tBodyAccZ" -0.11 -0.98
2 "laying" "tBodyGyroJerkMag" -0.99 -0.99
2 "laying" "tBodyGyroJerkX" -0.1 -0.99
2 "laying" "tBodyGyroJerkY" -0.04 -0.99
2 "laying" "tBodyGyroJerkZ" -0.07 -0.99
2 "laying" "tBodyGyroMag" -0.95 -0.96
2 "laying" "tBodyGyroX" -0.02 -0.99
2 "laying" "tBodyGyroY" -0.11 -0.98
2 "laying" "tBodyGyroZ" 0.14 -0.96
2 "laying" "tGravityAccMag" -0.98 -0.97
2 "laying" "tGravityAccX" -0.51 -0.96
2 "laying" "tGravityAccY" 0.75 -0.99
2 "laying" "tGravityAccZ" 0.65 -0.98
3 "walking" "fBodyAccJerkX" -0.3 -0.3
3 "walking" "fBodyAccJerkY" -0.14 -0.01
3 "walking" "fBodyAccJerkZ" -0.51 -0.54
3 "walking" "fBodyAccMag" -0.29 -0.46
3 "walking" "fBodyAccX" -0.32 -0.38
3 "walking" "fBodyAccY" -0.08 -0.12
3 "walking" "fBodyAccZ" -0.41 -0.42
3 "walking" "fBodyBodyAccJerkMag" -0.19 -0.09
3 "walking" "fBodyBodyGyroJerkMag" -0.61 -0.55
3 "walking" "fBodyBodyGyroMag" -0.57 -0.63
3 "walking" "fBodyGyroX" -0.44 -0.62
3 "walking" "fBodyGyroY" -0.56 -0.57
3 "walking" "fBodyGyroZ" -0.42 -0.55
3 "walking" "tBodyAccJerkMag" -0.28 -0.14
3 "walking" "tBodyAccJerkX" 0.08 -0.27
3 "walking" "tBodyAccJerkY" 0.01 -0.04
3 "walking" "tBodyAccJerkZ" -0.01 -0.53
3 "walking" "tBodyAccMag" -0.25 -0.33
3 "walking" "tBodyAccX" 0.28 -0.36
3 "walking" "tBodyAccY" -0.02 -0.07
3 "walking" "tBodyAccZ" -0.11 -0.39
3 "walking" "tBodyGyroJerkMag" -0.57 -0.57
3 "walking" "tBodyGyroJerkX" -0.1 -0.39
3 "walking" "tBodyGyroJerkY" -0.04 -0.64
3 "walking" "tBodyGyroJerkZ" -0.05 -0.54
3 "walking" "tBodyGyroMag" -0.47 -0.56
3 "walking" "tBodyGyroX" -0.03 -0.57
3 "walking" "tBodyGyroY" -0.08 -0.56
3 "walking" "tBodyGyroZ" 0.08 -0.48
3 "walking" "tGravityAccMag" -0.25 -0.33
3 "walking" "tGravityAccX" 0.94 -0.98
3 "walking" "tGravityAccY" -0.26 -0.96
3 "walking" "tGravityAccZ" -0.14 -0.95
3 "walking_upstairs" "fBodyAccJerkX" -0.48 -0.49
3 "walking_upstairs" "fBodyAccJerkY" -0.28 -0.27
3 "walking_upstairs" "fBodyAccJerkZ" -0.68 -0.74
3 "walking_upstairs" "fBodyAccMag" -0.32 -0.45
3 "walking_upstairs" "fBodyAccX" -0.39 -0.29
3 "walking_upstairs" "fBodyAccY" -0.08 -0.01
3 "walking_upstairs" "fBodyAccZ" -0.5 -0.35
3 "walking_upstairs" "fBodyBodyAccJerkMag" -0.41 -0.48
3 "walking_upstairs" "fBodyBodyGyroJerkMag" -0.72 -0.74
3 "walking_upstairs" "fBodyBodyGyroMag" -0.51 -0.45
3 "walking_upstairs" "fBodyGyroX" -0.38 -0.48
3 "walking_upstairs" "fBodyGyroY" -0.64 -0.56
3 "walking_upstairs" "fBodyGyroZ" -0.43 -0.56
3 "walking_upstairs" "tBodyAccJerkMag" -0.44 -0.44
3 "walking_upstairs" "tBodyAccJerkX" 0.04 -0.46
3 "walking_upstairs" "tBodyAccJerkY" 0.04 -0.25
3 "walking_upstairs" "tBodyAccJerkZ" 0.02 -0.71
3 "walking_upstairs" "tBodyAccMag" -0.18 -0.33
3 "walking_upstairs" "tBodyAccX" 0.26 -0.31
3 "walking_upstairs" "tBodyAccY" -0.03 0.01
3 "walking_upstairs" "tBodyAccZ" -0.11 -0.37
3 "walking_upstairs" "tBodyGyroJerkMag" -0.66 -0.72
3 "walking_upstairs" "tBodyGyroJerkX" -0.12 -0.51
3 "walking_upstairs" "tBodyGyroJerkY" -0.04 -0.78
3 "walking_upstairs" "tBodyGyroJerkZ" -0.05 -0.57
3 "walking_upstairs" "tBodyGyroMag" -0.35 -0.41
3 "walking_upstairs" "tBodyGyroX" 0.07 -0.46
3 "walking_upstairs" "tBodyGyroY" -0.14 -0.58
3 "walking_upstairs" "tBodyGyroZ" 0.02 -0.49
3 "walking_upstairs" "tGravityAccMag" -0.18 -0.33
3 "walking_upstairs" "tGravityAccX" 0.88 -0.94
3 "walking_upstairs" "tGravityAccY" -0.38 -0.91
3 "walking_upstairs" "tGravityAccZ" -0.16 -0.91
3 "walking_downstairs" "fBodyAccJerkX" -0.09 -0.17
3 "walking_downstairs" "fBodyAccJerkY" -0.14 -0.15
3 "walking_downstairs" "fBodyAccJerkZ" -0.53 -0.61
3 "walking_downstairs" "fBodyAccMag" 0.03 -0.23
3 "walking_downstairs" "fBodyAccX" -0.04 -0.07
3 "walking_downstairs" "fBodyAccY" -0.01 -0.11
3 "walking_downstairs" "fBodyAccZ" -0.4 -0.39
3 "walking_downstairs" "fBodyBodyAccJerkMag" -0.05 -0.16
3 "walking_downstairs" "fBodyBodyGyroJerkMag" -0.58 -0.62
3 "walking_downstairs" "fBodyBodyGyroMag" -0.33 -0.32
3 "walking_downstairs" "fBodyGyroX" -0.13 -0.31
3 "walking_downstairs" "fBodyGyroY" -0.54 -0.55
3 "walking_downstairs" "fBodyGyroZ" -0.3 -0.55
3 "walking_downstairs" "tBodyAccJerkMag" -0.21 -0.09
